Item per $1,weight (grams),Kilo calories,protein (grams),calcium (grams),iron (mg),vitaminA 1000 IU,thiamine (mg),riboflavin (mg),niacin (mg),ascorbicAcid (mg)
flour,12600,44.7,1411,2,365,0,55.4,33.3,441,0
macaroni,3217,11.6,418,0.7,54,0,3.2,1.9,68,0
cereal,3280,11.8,377,14.4,175,0,14.4,8.8,114,0
cornflakes,3194,11.4,252,0.1,56,0,13.5,2.3,68,0
cornmeal,9861,36,897,1.7,99,30.9,17.4,7.9,106,0
grits,8005,28.6,680,0.8,80,0,10.6,1.6,110,0
rice,6048,21.2,460,0.6,41,0,2,4.8,60,0
oats,6389,25.3,907,5.1,341,0,37.1,8.9,64,0
whitebread,5742,15.6,488,2.5,115,0,13.8,8.5,126,0
wheatbread,4985,12.2,484,2.7,125,0,13.9,6.4,160,0
ryebread,4930,12.4,439,1.1,82,0,9.9,3,66,0
poundcake,1829,8,130,0.4,31,18.9,2.8,3,17,0
crackers,3004,12.5,288,0.5,50,0,0,0,0,0
milk,8867,6.1,310,10.5,18,16.8,4,16,7,177
evapmild,6035,8.4,422,15.1,9,26,3,23.5,11,60
butter,1473,10.8,9,0.2,3,44.2,0,0.2,2,0
margarine,2817,20.6,17,0.6,6,55.8,0.2,0,0,0
eggs,1857,2.9,238,1,52,18.6,2.8,6.5,1,0
cheese,1874,7.4,448,16.4,19,28.1,0.8,10.3,4,0
cream,1689,3.5,49,1.7,3,16.9,0.6,2.5,0,17
peanutbutter,2534,15.7,661,1,48,0,9.6,8.1,471,0
mayonnaise,1198,8.6,18,0.2,8,2.7,0.4,0.5,0,0
crisco,2234,20.1,0,0,0,0,0,0,0,0
lard,4628,41.7,0,0,0,0.2,0,0.5,5,0
sirloinsteak,1145,2.9,166,0.1,34,0.2,2.1,2.9,69,0
roundsteak,1246,2.2,214,0.1,32,0.4,2.5,2.4,87,0
ribroast,1553,3.4,213,0.1,33,0,0,2,0,0
chuckroast,2007,3.6,309,0.2,46,0.4,1,4,120,0
plate,3107,8.5,404,0.2,62,0,0.9,0,0,0
liver,1692,2.2,333,0.2,139,169.2,6.4,50.8,316,525
lambleg,1643,3.1,245,0.1,20,0,2.8,3,86,0
lambchops,1239,3.3,140,0.1,15,0,1.7,2.7,54,0
porkchops,1477,3.5,196,0.2,80,0,17.4,2.7,60,0
porkroast,1874,4.4,249,0.3,37,0,18.2,3.6,79,0
bacon,1772,10.4,152,0.2,23,0,1.8,1.8,71,0
ham,1655,6.7,212,0.2,31,0,9.9,3.3,50,0
saltpork,2835,18.8,164,0.1,26,0,1.4,1.8,0,0
chicken,1497,1.8,184,0.1,30,0.1,0.9,1.8,68,46
veal,1072,1.7,156,0.1,24,0,1.4,2.4,57,0
salmon,3489,5.8,705,6.8,45,3.5,1,4.9,209,0
apples,9072,5.8,27,0.5,36,7.3,3.6,2.7,5,544
bananas,4982,4.9,60,0.4,30,17.4,2.5,3.5,28,498
lemons,2380,1,21,0.5,14,0,0.5,0,4,952
oranges,4439,2.2,40,1.1,18,11.1,3.6,1.3,10,1993
greenbeans,5750,2.4,138,3.7,80,69,4.3,5.8,37,862
cabbage,8949,2.6,125,4,36,7.2,9,4.5,26,5369
carrots,6080,2.7,73,2.8,43,188.5,6.1,4.3,89,608
celery,3915,0.9,51,3,23,0.9,1.4,1.4,9,313
lettuce,2247,0.4,27,1.1,22,112.4,1.8,3.4,11,449
onions,11844,5.8,166,3.8,59,16.6,4.7,5.9,21,1184
potatoes,16810,14.3,336,1.8,118,6.7,29.4,7.1,198,2522
spinach,4592,1.1,106,0,138,918.4,5.7,13.8,33,2755
sweetpotato,7649,9.6,138,2.7,54,290.7,8.4,5.4,83,1912
peaches,4894,3.7,20,0.4,10,21.5,0.5,1,31,196
pears,4030,3,8,0.3,8,0.8,0.8,0.8,5,81
pineapple,3993,2.4,16,0.4,8,2,2.8,0.8,7,399
asparagus,1945,0.4,33,0.3,12,16.3,1.4,2.1,17,272
cannedgrbn,5386,1,54,2,65,53.9,1.6,4.3,32,431
porkbeans,6389,7.5,364,4,134,3.5,8.3,7.7,56,0
corn,5452,5.2,136,0.2,16,12,1.6,2.7,42,218
peas,4109,2.3,136,0.6,45,34.9,4.9,2.5,37,370
tomatoes,6263,1.3,63,0.7,38,53.2,3.4,2.5,36,1253
tomatosoup,3917,1.6,71,0.6,43,57.9,3.5,2.4,67,862
driedpeach,2889,8.5,87,1.7,173,86.8,1.2,4.3,55,57
prunes,4284,12.8,99,2.5,154,85.7,3.9,4.3,65,257
raisins,4524,13.5,104,2.5,136,4.5,6.3,1.4,24,136
driedpeas,5742,20,1367,4.2,345,2.9,28.7,18.4,162,0
limabeans,5097,17.4,1055,3.7,459,5.1,26.9,38.2,93,0
navybeans,7688,26.9,1691,11.4,792,0,38.4,24.6,217,0
coffee,2025,0,0,0,0,0,4,5.1,50,0
tea,652,0,0,0,0,0,0,2.3,42,0
cocoa,2637,8.7,237,3,72,0,2,11.9,40,0
chocolate,1400,8,77,1.3,39,0,0.9,3.4,14,0
sugar,8773,34.9,0,0,0,0,0,0,0,0
cornsirup,4996,14.7,0,0.5,74,0,0,0,5,0
molasses,3752,9,0,10.3,244,0,1.9,7.5,146,0
stawberry,2213,6.4,11,0.4,7,0.2,0.2,0.4,3,0
